Size,TimeTaken
3450,0.010600
3460,0.008100
3470,0.009500
3480,0.024500
3490,0.008900
3500,0.008300
3510,0.008200
3520,0.008200
3530,0.008300
3540,0.008200
3550,0.008500
3560,0.009800
3570,0.009500
3580,0.008800
3590,0.012100
3600,0.015600
3610,0.010300
3620,0.010400
3630,0.010700
3640,0.014100
3650,0.031900
3660,0.009700
3670,0.010000
3680,0.008900
3690,0.009200
3700,0.008800
3710,0.008600
3720,0.009300
3730,0.008800
3740,0.008800
3750,0.008700
3760,0.010000
3770,0.010900
3780,0.010400
3790,0.009000
3800,0.011000
3810,0.009600
3820,0.009000
3830,0.009100
3840,0.009100
3850,0.009000
3860,0.009300
3870,0.009200
3880,0.009900
3890,0.009400
3900,0.017300
3910,0.014100
3920,0.010000
3930,0.009300
3940,0.009500
3950,0.009300
3960,0.009300
3970,0.009300
3980,0.009500
3990,0.009200
4000,0.009300
4010,0.009400
4020,0.009100
4030,0.009900
4040,0.009800
4050,0.009300
4060,0.011800
4070,0.011000
4080,0.010400
4090,0.009700
4100,0.009700
4110,0.009600
4120,0.009700
4130,0.009900
4140,0.009900
4150,0.009600
4160,0.010200
4170,0.009900
4180,0.010500
4190,0.014400
4200,0.009700
4210,0.009800
4220,0.009900
4230,0.010000
4240,0.009900
4250,0.009800
4260,0.010000
4270,0.009900
4280,0.010200
4290,0.014100
4300,0.017400
4310,0.010500
4320,0.010400
4330,0.010000
4340,0.010200
4350,0.010100
4360,0.010300
4370,0.010300
4380,0.011100
4390,0.010100
4400,0.010300
4410,0.010300
4420,0.018900
4430,0.010600
4440,0.010500
4450,0.010200
4460,0.010900
4470,0.011200
4480,0.010500
4490,0.010200
4500,0.010400
4510,0.010600
4520,0.010600
4530,0.010800
4540,0.020800
4550,0.011500
4560,0.011900
4570,0.012100
4580,0.010500
4590,0.010800
4600,0.010600
4610,0.011000
4620,0.010700
4630,0.010700
4640,0.010900
4650,0.011100
4660,0.011100
4670,0.023300
4680,0.017400
4690,0.010900
4700,0.010900
4710,0.012700
4720,0.011300
4730,0.011300
4740,0.011400
4750,0.011900
4760,0.011000
4770,0.011000
4780,0.022300
4790,0.014600
4800,0.015500
4810,0.011200
4820,0.011600
4830,0.011700
4840,0.011300
4850,0.011300
4860,0.012000
4870,0.011600
4880,0.011500
4890,0.015400
4900,0.018800
4910,0.021300
4920,0.011600
4930,0.011400
4940,0.012500
4950,0.014600
4960,0.012700
4970,0.011800
4980,0.013300
4990,0.012900
5000,0.023900
5010,0.020000
5020,0.011800
5030,0.011700
5040,0.011600
5050,0.012100
5060,0.011900
5070,0.012300
5080,0.011800
5090,0.011800
5100,0.017700
5110,0.019300
5120,0.017900
5130,0.011900
5140,0.012400
5150,0.012500
5160,0.012000
5170,0.011900
5180,0.012100
5190,0.012000
5200,0.012200
5210,0.020100
5220,0.012900
5230,0.012600
5240,0.012400
5250,0.012200
5260,0.012300
5270,0.012500
5280,0.012300
5290,0.012200
5300,0.012300
5310,0.019600
5320,0.019200
5330,0.013900
5340,0.012500
5350,0.015100
5360,0.012400
5370,0.012400
5380,0.012900
5390,0.036900
5400,0.014300
5410,0.030600
5420,0.017800
5430,0.013400
5440,0.012500
5450,0.017700
5460,0.028700
5470,0.012500
5480,0.012800
5490,0.012300
5500,0.013100
5510,0.027100
5520,0.012900
5530,0.013500
5540,0.013100
5550,0.012700
5560,0.012900
5570,0.013000
5580,0.013000
5590,0.012900
5600,0.013200
5610,0.024900
5620,0.013800
5630,0.013100
5640,0.013100
5650,0.013100
5660,0.013200
5670,0.013200
5680,0.014100
5690,0.013300
5700,0.022400
5710,0.013300
5720,0.013100
5730,0.013500
5740,0.015000
5750,0.014200
5760,0.013800
5770,0.013200
5780,0.013200
5790,0.019100
5800,0.020100
5810,0.015500
5820,0.014100
5830,0.013900
5840,0.013400
5850,0.013500
5860,0.013600
5870,0.013700
5880,0.013700
5890,0.025200
5900,0.020500
5910,0.014100
5920,0.013700
5930,0.014200
5940,0.013700
5950,0.013800
5960,0.014200
5970,0.014000
5980,0.026300
5990,0.020500
6000,0.013900
6010,0.013900
6020,0.014200
6030,0.014000
6040,0.014200
6050,0.013800
6060,0.014100
6070,0.022300
6080,0.015700
6090,0.014000
6100,0.014300
6110,0.015600
6120,0.014100
6130,0.014000
6140,0.014300
6150,0.014200
6160,0.017100
6170,0.023300
6180,0.022100
6190,0.015300
6200,0.014300
6210,0.014300
6220,0.014400
6230,0.014400
6240,0.014900
6250,0.024200
6260,0.020600
6270,0.014800
