Size,Time Taken
39200,0.005779
39250,0.006018
39300,0.005687
39350,0.005609
39400,0.005605
39450,0.005918
39500,0.005800
39550,0.005873
39600,0.005846
39650,0.005813
39700,0.005736
39750,0.005895
39800,0.005712
39850,0.005971
39900,0.005794
39950,0.005718
40000,0.006013
40050,0.005793
40100,0.005643
40150,0.005700
40200,0.005845
40250,0.005870
40300,0.005903
40350,0.006043
40400,0.005739
40450,0.005937
40500,0.005808
40550,0.005954
40600,0.006042
40650,0.006016
40700,0.006336
40750,0.005977
40800,0.005820
40850,0.006104
40900,0.006031
40950,0.006085
41000,0.006031
41050,0.006064
41100,0.006383
41150,0.005974
41200,0.005938
41250,0.005900
41300,0.006060
41350,0.005909
41400,0.006002
41450,0.006078
41500,0.006121
41550,0.005967
41600,0.006041
41650,0.006430
41700,0.006061
41750,0.006060
41800,0.006166
41850,0.006137
41900,0.006156
41950,0.006248
42000,0.006524
42050,0.006290
42100,0.006196
42150,0.005989
42200,0.006121
42250,0.006172
42300,0.006277
42350,0.006290
42400,0.006237
42450,0.006161
42500,0.006163
42550,0.006183
42600,0.006230
42650,0.006138
42700,0.006332
42750,0.006306
42800,0.006172
42850,0.006225
42900,0.006420
42950,0.006359
43000,0.006244
43050,0.006232
43100,0.006576
43150,0.006852
43200,0.006265
43250,0.006326
43300,0.006250
43350,0.006404
43400,0.006330
43450,0.006407
43500,0.006378
43550,0.006277
43600,0.006333
43650,0.006477
43700,0.006164
43750,0.006424
43800,0.006264
43850,0.006643
43900,0.006374
43950,0.006316
44000,0.006286
44050,0.006231
44100,0.006478
44150,0.006264
44200,0.006377
44250,0.006457
44300,0.006357
44350,0.006460
44400,0.006557
44450,0.006679
44500,0.006673
44550,0.006492
44600,0.006560
44650,0.006487
44700,0.006712
44750,0.006359
44800,0.006505
44850,0.006710
44900,0.006582
44950,0.006626
45000,0.006568
45050,0.006463
45100,0.006494
45150,0.006708
45200,0.006792
45250,0.006672
45300,0.006653
45350,0.006646
45400,0.006489
45450,0.006798
45500,0.006638
45550,0.006820
45600,0.006588
45650,0.006562
45700,0.006606
45750,0.006631
45800,0.006780
45850,0.006716
45900,0.006787
45950,0.007013
46000,0.006654
46050,0.006629
46100,0.006801
46150,0.006689
46200,0.006855
46250,0.006653
46300,0.007078
46350,0.006705
46400,0.006911
46450,0.006780
46500,0.006752
46550,0.006955
46600,0.006949
46650,0.007033
46700,0.006785
46750,0.006730
46800,0.007086
46850,0.006891
46900,0.006991
46950,0.007171
47000,0.006886
47050,0.006932
47100,0.006871
47150,0.006887
47200,0.006775
47250,0.006972
47300,0.007030
47350,0.006972
47400,0.006848
47450,0.007233
47500,0.007154
47550,0.006938
47600,0.007241
47650,0.006979
47700,0.006995
47750,0.007056
47800,0.007031
47850,0.006969
47900,0.007108
47950,0.006985
48000,0.007072
48050,0.007152
48100,0.007307
48150,0.007116
48200,0.007188
